John	Doe	johndoe@email.com	500	Active	USA	2024-02-14
Alice	Smith	alicesmith@email.com	800	Inactive	Canada	2024-02-14
Bob	Johnson	bobjohnson@email.com	600	Active	UK	2024-02-14
Emma	Miller	emmamiller@email.com	700	Active	Australia	2024-02-14
Michael	Williams	michaelwilliams@email.com	400	Inactive	Germany	2024-02-14
Sophia	Anderson	sophiaanderson@email.com	900	Active	France	2024-02-14
Daniel	White	danielwhite@email.com	300	Inactive	Japan	2024-02-14
Olivia	Brown	oliviabrown@email.com	1000	Active	Spain	2024-02-14
David	Smith	davidsmith@email.com	750	Active	Italy	2024-02-14
Isabella	Taylor	isabellataylor@email.com	550	Inactive	Brazil	2024-02-14
